id,name,bounty,crew,fruit,status,job,emperor,bounty_human_readable,bounty_category
1,Monkey D Luffy,3000000000,The Chapeau de Paille crew,Gum-Gum Fruit,Vivo,Captain,Sim,3 bilhão(ões) de berries,Bilhões
2,Roronoa Zoro,320000000,The Chapeau de Paille crew,Não tem,living,Right-hand man,Sim,320 milhão(ões) de berries,Milhões
3,Nami,66000000,The Chapeau de Paille crew,Não tem,living,Navigator,Sim,66 milhão(ões) de berries,Milhões
4,Usopp,200000000,The Chapeau de Paille crew,Não tem,living,Sniper,Sim,200 milhão(ões) de berries,Milhões
5,Sanji,330000000,The Chapeau de Paille crew,Não tem,living,Cook,Sim,330 milhão(ões) de berries,Milhões
6,Tony-Tony Chopper,100,The Chapeau de Paille crew,Fruit of the Human,living,Doctor,Sim,100 berries,Outros
7,Nico Robin,130000000,The Chapeau de Paille crew,Fruit Des Éclosions,living,Archaeologist,Sim,130 milhão(ões) de berries,Milhões
8,Franky,94000000,The Chapeau de Paille crew,Não tem,living,Carpenter,Sim,94 milhão(ões) de berries,Milhões
9,Brook,83000000,The Chapeau de Paille crew,Fruit of the Resurrection,living,Musician,Sim,83 milhão(ões) de berries,Milhões
10,Jinbe,438000000,The Chapeau de Paille crew,Não tem,living,Helmsman,Sim,438 milhão(ões) de berries,Milhões
11,Zeus,0,The Chapeau de Paille crew,Não tem,living,Nami Arme,Sim,Não tem recompensa,Sem recompensa
12,Cavendish,330000000,Armarda du Chapeau de Paille,Não tem,living,Captain,Não,330 milhão(ões) de berries,Milhões
13,Suleiman,670000000,Armarda du Chapeau de Paille,Não tem,living,Fighter,Não,670 milhão(ões) de berries,Milhões
14,Bartolomeo,200000000,Armarda du Chapeau de Paille,Fruit of the Barrier,living,Captain,Não,200 milhão(ões) de berries,Milhões
15,Gambia,670000000,Armarda du Chapeau de Paille,Não tem,living,Advisor,Não,670 milhão(ões) de berries,Milhões
16,Sai,210000000,Armarda du Chapeau de Paille,Não tem,living,13th Chief Commander,Não,210 milhão(ões) de berries,Milhões
17,Boo,0,Armarda du Chapeau de Paille,Não tem,living,second-in-command,Não,Não tem recompensa,Sem recompensa
18,Baby 5,0,Armarda du Chapeau de Paille,Armo-Fruit,living,,Não,Não tem recompensa,Sem recompensa
19,Ideo,0,Armarda du Chapeau de Paille,Não tem,living,Captain,Não,Não tem recompensa,Sem recompensa
20,Blue Gilly,0,Armarda du Chapeau de Paille,Não tem,living,,Não,Não tem recompensa,Sem recompensa
21,Abdullah,0,Armarda du Chapeau de Paille,Não tem,living,,Não,Não tem recompensa,Sem recompensa
