id,name,bounty,crew,fruit,status,occupation,emperor
1,Monkey D Luffy,3000000000,The Chapeau de Paille crew,Gum-Gum Fruit,Vivo,Outro,Não
2,Roronoa Zoro,320000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
3,Nami,66000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
4,Usopp,200000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
5,Sanji,330000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
6,Tony-Tony Chopper,100,The Chapeau de Paille crew,Fruit of the Human,living,Outro,Não
7,Nico Robin,130000000,The Chapeau de Paille crew,Fruit Des Éclosions,living,Outro,Não
8,Franky,94000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
9,Brook,83000000,The Chapeau de Paille crew,Fruit of the Resurrection,living,Outro,Não
10,Jinbe,438000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
11,Zeus,0,The Chapeau de Paille crew,Não tem,living,Outro,Não
12,Cavendish,330000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
13,Suleiman,670000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
14,Bartolomeo,200000000,Armarda du Chapeau de Paille,Fruit of the Barrier,living,Outro,Não
15,Gambia,670000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
16,Sai,210000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
17,Boo,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
18,Baby 5,0,Armarda du Chapeau de Paille,Armo-Fruit,living,Outro,Não
19,Ideo,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
20,Blue Gilly,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
21,Abdullah,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
22,Jeet,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
23,Léo,0,Armarda du Chapeau de Paille,Fruit de la Couture,living,Outro,Não
24,Kabu,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Scarab-Rhinoceros version",living,Outro,Não
25,Bee Anne,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Wasp version",living,Outro,Não
26,Hajrudin,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
27,Stansen,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
28,Road,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
29,Goldberg,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
30,Gerd,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
31,Orlumbus,148000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
32,Baggy / Le Clown,150000000,Baggy's Delivery,Fruit of Fragmentation,living,Outro,Não
33,Alvida,5000000,Baggy's Delivery,Fruit Glisse-Glisse,living,Outro,Não
34,Galdino,24000000,Baggy's Delivery,Ciro-Fruit,living,Outro,Não
35,Morge,0,Baggy's Delivery,Não tem,living,Outro,Não
36,Cabaji,0,Baggy's Delivery,Não tem,living,Outro,Não
37,Kuro,16000000,The Black Cat crew,Não tem,living,Outro,Não
38,Sham,7000000,The Black Cat crew,Não tem,living,Outro,Não
39,Buchi,7000000,The Black Cat crew,Não tem,living,Outro,Não
40,Krieg / Don Krieg,17000000,Don Krieg's Pirate Armada,Não tem,living,Outro,Não
41,Gyn,12000000,Don Krieg's Pirate Armada,Não tem,living,Outro,Não
42,Pearl,0,Don Krieg's Pirate Armada,Não tem,living,Outro,Não
43,Montblanc Cricket,25000000,Primate League,Não tem,living,Outro,Não
44,Masira,23000000,Primate League,Não tem,living,Outro,Não
45,Shojo,36000000,Primate League,Não tem,living,Outro,Não
46,Foxy,24000000,The Foxy crew,Ramollo fruit,living,Outro,Não
47,Porché,0,The Foxy crew,Não tem,living,Outro,Não
48,Hamburg,0,The Foxy crew,Não tem,living,Outro,Não
49,Gecko Moria,320000000,Thriller Bark,Fruit of the Shadow,living,Outro,Não
50,Hogback,0,Thriller Bark,Não tem,living,Outro,Não
51,Absalom,0,Thriller Bark,Fruit of Invisibility,Morto,Outro,Não
52,Perona,0,Thriller Bark,Fruit of Ectoplasm,living,Outro,Não
53,Laura,24000000,The crew of the Rolling,Não tem,living,Outro,Não
54,Trafalgar D. Water Law,500000000,The Hearth crew,Fruit of the Scalpel,living,Outro,Não
55,Bepo,500,The Hearth crew,Não tem,living,Outro,Não
56,Jean Bart,0,The Hearth crew,Não tem,living,Outro,Não
57,Shachi,0,The Hearth crew,Não tem,living,Outro,Não
58,Pingouin,0,The Hearth crew,Não tem,living,Outro,Não
59,Eustass Kidd,470000000,The Kid crew,Magnéto-Fruit,living,Outro,Não
60,Killer,200000000,The Kid crew,Não tem,living,Outro,Não
61,Heat,0,The Kid crew,Não tem,living,Outro,Não
62,Wire,0,The Kid crew,Não tem,living,Outro,Não
63,Capone Bege,350000000,The Fire Tank crew,Fruit du Château,living,Outro,Não
64,Vito,95000000,The Fire Tank crew,Não tem,living,Outro,Não
65,Gotti,90000000,The Fire Tank crew,Não tem,living,Outro,Não
66,Charlotte Chiffon,0,The Fire Tank crew,Não tem,living,Outro,Não
67,Charlotte Pets,0,The Fire Tank crew,Não tem,living,Outro,Não
68,Jewelry Bonney,140000000,The Fire Tank crew,Não tem,living,Outro,Não
69,Urouge,108000000,The crew of Les Moines Dépravés,Não tem,living,Outro,Não
70,Boa Hancock,80000000,The Kuja Pirates crew,Passion fruit,living,Outro,Não
71,Boa Sandersonia,40000000,The Kuja Pirates crew,"Fruit of the Reptile, Anaconda version",living,Outro,Não
72,Boa Marigold,40000000,The Kuja Pirates crew,"Fruit of the Reptile, Cobra Royal version",living,Outro,Não
73,Margaret,0,The Kuja Pirates crew,Não tem,living,Outro,Não
74,Shiki,0,The crew of the Lion d'Or,Floating Fruit,living,Outro,Não
75,Indigo,0,The crew of the Lion d'Or,Não tem,living,Outro,Não
76,Caribou,210000000,The Caribou crew,Fruit du Marais,living,Outro,Não
77,Coribou,190000000,The Caribou crew,Não tem,living,Outro,Não
78,Ficher Tiger,230000000,The Sun Pirates crew,Não tem,Morto,Outro,Não
79,Aladdin,0,The Sun Pirates crew,Não tem,living,Outro,Não
80,Charlotte Praliné,0,The Sun Pirates crew,Não tem,living,Outro,Não
81,Dracule Mihawk,0,Sem tripulação,Não tem,living,Outro,Não
82,Crocodile,81000000,Sem tripulação,Não tem,living,Outro,Não
83,Das Bones,75000000,Sem tripulação,Não tem,living,Outro,Não
84,Edward Weeble,480000000,Sem tripulação,Não tem,living,Outro,Não
85,Shanks,4048900000,Le Roux crew,Não tem,living,Outro,Não
86,Ben Beckmann,0,Le Roux crew,Não tem,living,Outro,Não
87,Lucky Roo,0,Le Roux crew,Não tem,living,Outro,Não
88,Yassop,0,Le Roux crew,Não tem,living,Outro,Não
89,Limejuice,0,Le Roux crew,Não tem,living,Outro,Não
90,Bonk Punch,0,Le Roux crew,Não tem,living,Outro,Não
91,Monster,0,Le Roux crew,Não tem,living,Outro,Não
92,Building Snake,0,Le Roux crew,Não tem,living,Outro,Não
93,Hongo,0,Le Roux crew,Não tem,living,Outro,Não
94,Howling Dab,0,Le Roux crew,Não tem,living,Outro,Não
95,Rockstar,94000000,Le Roux crew,Não tem,living,Outro,Não
96,Charlotte Linlin / Big Mom,4388000000,Big Mom's crew,Fruit of Souls,living,Outro,Não
97,Charlotte Dent-de-chien,1057000000,Big Mom's crew,Glutinous Rice Fruit,living,Outro,Não
98,Charlotte Smoothie,932000000,Big Mom's crew,Horse Fruit,living,Outro,Não
99,Charlotte Cracker,860000000,Big Mom's crew,Cookie Fruit,living,Outro,Não
100,Charlotte Slurp,700000000,Big Mom's crew,Fruit de la Léchouille,living,Outro,Não
101,Charlotte Daifuku,300000000,Big Mom's crew,Fruit of the Lamp,living,Outro,Não
102,Charlotte Oven,300000000,Big Mom's crew,Fruit of Heat,living,Outro,Não
103,Charlotte Amande,0,Big Mom's crew,Não tem,living,Outro,Não
104,Charlotte Opéra,0,Big Mom's crew,Fruit de la Crème,living,Outro,Não
105,Charlotte Brûlée,0,Big Mom's crew,Fruit of the Mirror,living,Outro,Não
106,Charlotte Mont d’Or,120000000,Big Mom's crew,Fruit of the Book,living,Outro,Não
107,Charlotte Galette,0,Big Mom's crew,Butter Fruit,living,Outro,Não
108,Charlotte Snack,600000000,Big Mom's crew,Não tem,living,Outro,Não
109,Charlotte Pudding,0,Big Mom's crew,Fruit of Memories,living,Outro,Não
110,Charlotte Flampée,0,Big Mom's crew,Não tem,living,Outro,Não
111,Charlotte Compote,0,Big Mom's crew,Não tem,living,Outro,Não
112,Charlotte Mondé,0,Big Mom's crew,Não tem,living,Outro,Não
113,Charlotte Hachée,0,Big Mom's crew,Não tem,living,Outro,Não
114,Charlotte Effilée,0,Big Mom's crew,Não tem,living,Outro,Não
115,Charlotte Counter,0,Big Mom's crew,Não tem,living,Outro,Não
116,Charlotte Cadenza,0,Big Mom's crew,Não tem,living,Outro,Não
117,Charlotte Cabaletta,0,Big Mom's crew,Não tem,living,Outro,Não
118,Charlotte Gala,0,Big Mom's crew,Não tem,living,Outro,Não
119,Charlotte Angel,0,Big Mom's crew,Não tem,living,Outro,Não
120,Charlotte Crème,0,Big Mom's crew,Não tem,living,Outro,Não
121,Charlotte Zuccoto,0,Big Mom's crew,Não tem,living,Outro,Não
122,Charlotte Broyée,0,Big Mom's crew,Não tem,living,Outro,Não
