id,name,bounty,crew,fruit,status,job,emperor
1,Monkey D Luffy,3000000000,The Chapeau de Paille crew,Gum-Gum Fruit,Vivo,Captain,Sim
2,Roronoa Zoro,320000000,The Chapeau de Paille crew,Não tem,living,Right-hand man,Sim
3,Nami,66000000,The Chapeau de Paille crew,Não tem,living,Navigator,Sim
4,Usopp,200000000,The Chapeau de Paille crew,Não tem,living,Sniper,Sim
5,Sanji,330000000,The Chapeau de Paille crew,Não tem,living,Cook,Sim
6,Tony-Tony Chopper,100,The Chapeau de Paille crew,Fruit of the Human,living,Doctor,Sim
7,Nico Robin,130000000,The Chapeau de Paille crew,Fruit Des Éclosions,living,Archaeologist,Sim
8,Franky,94000000,The Chapeau de Paille crew,Não tem,living,Carpenter,Sim
9,Brook,83000000,The Chapeau de Paille crew,Fruit of the Resurrection,living,Musician,Sim
10,Jinbe,438000000,The Chapeau de Paille crew,Não tem,living,Helmsman,Sim
11,Zeus,0,The Chapeau de Paille crew,Não tem,living,Nami Arme,Sim
12,Cavendish,330000000,Armarda du Chapeau de Paille,Não tem,living,Captain,Não
13,Suleiman,670000000,Armarda du Chapeau de Paille,Não tem,living,Fighter,Não
14,Bartolomeo,200000000,Armarda du Chapeau de Paille,Fruit of the Barrier,living,Captain,Não
15,Gambia,670000000,Armarda du Chapeau de Paille,Não tem,living,Advisor,Não
16,Sai,210000000,Armarda du Chapeau de Paille,Não tem,living,13th Chief Commander,Não
17,Boo,0,Armarda du Chapeau de Paille,Não tem,living,second-in-command,Não
18,Baby 5,0,Armarda du Chapeau de Paille,Armo-Fruit,living,,Não
19,Ideo,0,Armarda du Chapeau de Paille,Não tem,living,Captain,Não
20,Blue Gilly,0,Armarda du Chapeau de Paille,Não tem,living,,Não
21,Abdullah,0,Armarda du Chapeau de Paille,Não tem,living,,Não
22,Jeet,0,Armarda du Chapeau de Paille,Não tem,living,,Não
23,Léo,0,Armarda du Chapeau de Paille,Fruit de la Couture,living,Captain,Não
24,Kabu,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Scarab-Rhinoceros version",living,,Não
25,Bee Anne,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Wasp version",living,,Não
26,Hajrudin,0,Armarda du Chapeau de Paille,Não tem,living,Captain,Não
27,Stansen,0,Armarda du Chapeau de Paille,Não tem,living,Carpenter,Não
28,Road,0,Armarda du Chapeau de Paille,Não tem,living,Browser,Não
29,Goldberg,0,Armarda du Chapeau de Paille,Não tem,living,Cook,Não
30,Gerd,0,Armarda du Chapeau de Paille,Não tem,living,Doctor,Não
31,Orlumbus,148000000,Armarda du Chapeau de Paille,Não tem,living,Admiral,Não
32,Baggy / Le Clown,150000000,Baggy's Delivery,Fruit of Fragmentation,living,Chairman,Não
33,Alvida,5000000,Baggy's Delivery,Fruit Glisse-Glisse,living,,Não
34,Galdino,24000000,Baggy's Delivery,Ciro-Fruit,living,,Não
35,Morge,0,Baggy's Delivery,Não tem,living,,Não
36,Cabaji,0,Baggy's Delivery,Não tem,living,,Não
37,Kuro,16000000,The Black Cat crew,Não tem,living,Captain,Não
38,Sham,7000000,The Black Cat crew,Não tem,living,Officer,Não
39,Buchi,7000000,The Black Cat crew,Não tem,living,Officer,Não
40,Krieg / Don Krieg,17000000,Don Krieg's Pirate Armada,Não tem,living,Captain,Não
41,Gyn,12000000,Don Krieg's Pirate Armada,Não tem,living,Vice-Admiral,Não
42,Pearl,0,Don Krieg's Pirate Armada,Não tem,living,Captain (2nd Battalion),Não
43,Montblanc Cricket,25000000,Primate League,Não tem,living,Commander-in-Chief,Não
44,Masira,23000000,Primate League,Não tem,living,,Não
45,Shojo,36000000,Primate League,Não tem,living,,Não
46,Foxy,24000000,The Foxy crew,Ramollo fruit,living,Captain,Não
