id,name,bounty,crew,fruit,status,job,emperor,fruit_image
1,Monkey D Luffy,3000000000,The Chapeau de Paille crew,Gomu Gomu no Mi,Vivo,Captain,Sim,https://images.api-onepiece.com/fruits/5665e89442022d4c0e7684c650dc6d6b.png
2,Roronoa Zoro,320000000,The Chapeau de Paille crew,Não tem,living,Right-hand man,Sim,
3,Nami,66000000,The Chapeau de Paille crew,Não tem,living,Navigator,Sim,
4,Usopp,200000000,The Chapeau de Paille crew,Não tem,living,Sniper,Sim,
5,Sanji,330000000,The Chapeau de Paille crew,Não tem,living,Cook,Sim,
6,Tony-Tony Chopper,100,The Chapeau de Paille crew,Hito Hito no Mi,living,Doctor,Sim,https://images.api-onepiece.com/fruits/28c479a3d76524452745f40bde7a0c37.png
7,Nico Robin,130000000,The Chapeau de Paille crew,Hana Hana no Mi,living,Archaeologist,Sim,https://images.api-onepiece.com/fruits/5f82c2c5df83335a916f98dc3b09eade.png
8,Franky,94000000,The Chapeau de Paille crew,Não tem,living,Carpenter,Sim,
9,Brook,83000000,The Chapeau de Paille crew,Yomi Yomi no Mi,living,Musician,Sim,https://images.api-onepiece.com/fruits/56fc9cdf59bcd8a6e53b3e7c31e11005.png
10,Jinbe,438000000,The Chapeau de Paille crew,Não tem,living,Helmsman,Sim,
11,Zeus,0,The Chapeau de Paille crew,Não tem,living,Nami Arme,Sim,
12,Cavendish,330000000,Armarda du Chapeau de Paille,Não tem,living,Captain,Não,
13,Suleiman,670000000,Armarda du Chapeau de Paille,Não tem,living,Fighter,Não,
14,Bartolomeo,200000000,Armarda du Chapeau de Paille,Bari Bari no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/
15,Gambia,670000000,Armarda du Chapeau de Paille,Não tem,living,Advisor,Não,
16,Sai,210000000,Armarda du Chapeau de Paille,Não tem,living,13th Chief Commander,Não,
17,Boo,0,Armarda du Chapeau de Paille,Não tem,living,second-in-command,Não,
18,Baby 5,0,Armarda du Chapeau de Paille,Buki Buki no Mi,living,,Não,https://images.api-onepiece.com/fruits/
19,Ideo,0,Armarda du Chapeau de Paille,Não tem,living,Captain,Não,
20,Blue Gilly,0,Armarda du Chapeau de Paille,Não tem,living,,Não,
21,Abdullah,0,Armarda du Chapeau de Paille,Não tem,living,,Não,
22,Jeet,0,Armarda du Chapeau de Paille,Não tem,living,,Não,
23,Léo,0,Armarda du Chapeau de Paille,Nui Nui no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/
24,Kabu,0,Armarda du Chapeau de Paille,"Mushi Mushi no Mi, Moderu Kabutomushi",living,,Não,https://images.api-onepiece.com/fruits/
25,Bee Anne,0,Armarda du Chapeau de Paille,"Mushi Mushi no Mi, Moderu Suzumebachi",living,,Não,https://images.api-onepiece.com/fruits/
26,Hajrudin,0,Armarda du Chapeau de Paille,Não tem,living,Captain,Não,
27,Stansen,0,Armarda du Chapeau de Paille,Não tem,living,Carpenter,Não,
28,Road,0,Armarda du Chapeau de Paille,Não tem,living,Browser,Não,
29,Goldberg,0,Armarda du Chapeau de Paille,Não tem,living,Cook,Não,
30,Gerd,0,Armarda du Chapeau de Paille,Não tem,living,Doctor,Não,
31,Orlumbus,148000000,Armarda du Chapeau de Paille,Não tem,living,Admiral,Não,
32,Baggy / Le Clown,150000000,Baggy's Delivery,Bara Bara no Mi,living,Chairman,Não,https://images.api-onepiece.com/fruits/ce8729339b41da72e8e0f81dd7f71eee.png
